feature,fscore
queryId=693,0.005494505494505495
sellcnt,0.005494505494505495
queryId=225,0.005494505494505495
queryId=10,0.005494505494505495
queryId=8,0.005494505494505495
queryId=943,0.01098901098901099
categoryId=638,0.016483516483516484
categoryId=358,0.02197802197802198
addCartCnt,0.027472527472527472
queryId=0,0.038461538461538464
uid_ctr,0.04945054945054945
refund_rate,0.04945054945054945
collectcnt,0.04945054945054945
cate_ctr,0.07142857142857142
cateSim,0.08791208791208792
cate_weight,0.09340659340659341
titleSim,0.11538461538461539
price,0.13736263736263737
ctr,0.2032967032967033
